isfraud,numdayopen,value,tranid,userid,last4dig,dayind,bankid,international
0.0,330.0,429.18415689143376,70515.0,24.0,1823.0,3.0,4.0,1.0
0.0,233.0,327.5189590764272,59692.0,36.0,7906.0,3.0,1.0,1.0
0.0,277.0,53.03352263501222,55870.0,29.0,2124.0,7.0,6.0,0.0
0.0,127.0,200.16132168017037,12671.0,80.0,3496.0,2.0,2.0,1.0
0.0,289.0,947.8092651944352,70952.0,90.0,5198.0,7.0,3.0,0.0
0.0,84.0,964.7560522610536,24168.0,75.0,1420.0,3.0,5.0,1.0
1.0,102.0,76.9204813652169,92213.0,32.0,2669.0,6.0,3.0,0.0
0.0,178.0,533.2125000651897,96706.0,48.0,2129.0,5.0,6.0,1.0
0.0,216.0,822.5085871719681,23833.0,56.0,6934.0,6.0,4.0,0.0
1.0,91.0,734.0615087093785,95256.0,35.0,9817.0,7.0,4.0,1.0
1.0,304.0,269.1271425111761,42177.0,12.0,5569.0,4.0,2.0,1.0
1.0,173.0,29.67129777231949,52600.0,24.0,8988.0,2.0,3.0,1.0
1.0,144.0,880.4396597784672,46211.0,72.0,1166.0,5.0,2.0,0.0
0.0,209.0,489.0892690019386,41499.0,89.0,8800.0,6.0,6.0,1.0
1.0,9.0,93.96029720411701,39045.0,52.0,4986.0,3.0,6.0,1.0
1.0,284.0,531.391009214622,65771.0,96.0,6419.0,3.0,6.0,1.0
1.0,157.0,252.15227252474057,25814.0,93.0,4155.0,3.0,1.0,0.0
0.0,111.0,738.8660488554417,46241.0,93.0,9595.0,5.0,3.0,0.0
0.0,152.0,228.25568031907216,33519.0,39.0,1231.0,6.0,5.0,0.0
1.0,24.0,974.3206361716352,82529.0,38.0,3068.0,6.0,4.0,0.0
0.0,294.0,285.0549878100122,72746.0,57.0,6582.0,2.0,1.0,1.0
1.0,59.0,822.2935296541309,62521.0,63.0,2213.0,5.0,6.0,0.0
0.0,77.0,811.3309341987725,49824.0,11.0,5066.0,1.0,5.0,1.0
0.0,268.0,380.9976481204028,68028.0,39.0,8025.0,3.0,5.0,0.0
0.0,107.0,625.8895153761965,44687.0,85.0,2330.0,2.0,2.0,0.0
0.0,81.0,3.673046880282847,69048.0,89.0,8699.0,3.0,1.0,0.0
1.0,362.0,283.43565473917545,69510.0,10.0,4824.0,3.0,6.0,0.0
1.0,59.0,545.0178163318681,94886.0,20.0,5352.0,7.0,2.0,0.0
0.0,85.0,792.8359376661792,87993.0,96.0,5728.0,4.0,1.0,1.0
1.0,359.0,403.10601064364283,45683.0,65.0,9847.0,4.0,4.0,0.0
0.0,222.0,734.7993893623296,89129.0,33.0,1423.0,1.0,2.0,0.0
1.0,296.0,41.191441471471556,32962.0,61.0,9502.0,6.0,4.0,1.0
0.0,300.0,436.44910208992604,74451.0,12.0,8700.0,3.0,4.0,1.0
1.0,344.0,105.49528469797487,31079.0,43.0,7744.0,6.0,4.0,1.0
1.0,282.0,37.660433183394986,21542.0,41.0,5135.0,3.0,1.0,1.0
0.0,337.0,869.4981168363317,70552.0,53.0,1888.0,2.0,5.0,1.0
1.0,321.0,442.59891476653917,16764.0,27.0,5375.0,5.0,2.0,1.0
1.0,358.0,485.2270851530481,13783.0,81.0,4920.0,6.0,2.0,1.0
0.0,283.0,408.5826966026126,39451.0,15.0,8560.0,1.0,6.0,0.0
1.0,150.0,509.3631430544422,45838.0,54.0,8905.0,4.0,2.0,1.0
0.0,197.0,191.4197605769804,88561.0,66.0,3236.0,7.0,1.0,1.0
1.0,175.0,934.3141452888376,76550.0,35.0,1042.0,3.0,6.0,1.0
1.0,77.0,447.10084565015126,73483.0,45.0,6446.0,5.0,5.0,1.0
1.0,165.0,869.7320815508344,41300.0,74.0,7274.0,2.0,4.0,0.0
1.0,243.0,705.5226531439775,59968.0,50.0,3492.0,4.0,1.0,0.0
1.0,52.0,874.316183680254,67711.0,13.0,9617.0,4.0,1.0,0.0
1.0,336.0,969.9868372470652,19807.0,61.0,5342.0,3.0,5.0,1.0
0.0,169.0,852.4889952293272,79942.0,49.0,6188.0,6.0,6.0,1.0
0.0,317.0,69.3523264343699,92727.0,88.0,5708.0,2.0,6.0,0.0
1.0,51.0,760.6093233012712,23173.0,57.0,3725.0,6.0,3.0,0.0
0.0,167.0,796.3473216970496,48452.0,46.0,7141.0,4.0,2.0,0.0
1.0,290.0,682.1185709813755,33600.0,22.0,3868.0,1.0,5.0,1.0
0.0,255.0,912.9161870075312,28758.0,30.0,8555.0,6.0,3.0,1.0
1.0,342.0,10.38803402341617,70981.0,37.0,9955.0,2.0,1.0,1.0
1.0,301.0,299.85509487464844,65615.0,89.0,5097.0,4.0,3.0,0.0
1.0,248.0,107.54661415493855,59986.0,74.0,6881.0,5.0,3.0,1.0
0.0,338.0,396.409935170456,11061.0,73.0,1803.0,5.0,6.0,1.0
1.0,118.0,607.4579331661017,56179.0,29.0,4115.0,5.0,3.0,0.0
0.0,322.0,646.6942682816323,50492.0,57.0,1546.0,5.0,3.0,0.0
0.0,152.0,327.3924065882964,64460.0,23.0,4289.0,2.0,5.0,1.0
1.0,85.0,257.713114478699,73156.0,38.0,6549.0,7.0,1.0,1.0
0.0,73.0,754.3973415682741,39571.0,87.0,7511.0,7.0,5.0,1.0
0.0,203.0,14.904736445800276,80329.0,16.0,8451.0,3.0,6.0,1.0
1.0,327.0,940.3515998877747,24201.0,87.0,4830.0,4.0,1.0,1.0
0.0,332.0,64.15382411903525,70852.0,90.0,5951.0,6.0,4.0,0.0
0.0,24.0,946.3152713490643,49893.0,64.0,2902.0,1.0,2.0,0.0
1.0,233.0,371.64050397139584,80804.0,54.0,3531.0,4.0,6.0,0.0
1.0,316.0,408.7077698120028,46666.0,5.0,7070.0,2.0,4.0,1.0
0.0,186.0,100.25526998152418,99873.0,48.0,9920.0,6.0,3.0,0.0
1.0,142.0,190.61875359891846,26011.0,59.0,2501.0,6.0,2.0,0.0
0.0,171.0,244.3253282668596,26505.0,73.0,4362.0,1.0,5.0,0.0
0.0,120.0,329.2309938787982,29340.0,77.0,1046.0,3.0,2.0,0.0
1.0,90.0,110.81642154154612,13379.0,17.0,1243.0,3.0,2.0,1.0
0.0,90.0,266.1021408166484,26614.0,95.0,7897.0,5.0,1.0,0.0
1.0,230.0,778.2390222748885,77271.0,76.0,2786.0,4.0,5.0,0.0
0.0,338.0,521.929763498371,70036.0,83.0,1510.0,1.0,4.0,1.0
1.0,352.0,108.85386784954795,68138.0,10.0,2323.0,3.0,5.0,0.0
0.0,65.0,275.7409835583952,92978.0,75.0,9984.0,6.0,3.0,1.0
1.0,233.0,506.0455234111947,66387.0,13.0,2874.0,7.0,6.0,0.0
1.0,232.0,888.2029309665045,64239.0,44.0,8430.0,4.0,4.0,0.0
1.0,219.0,313.21104757072595,43408.0,48.0,3500.0,6.0,4.0,0.0
0.0,44.0,94.13687160197372,22656.0,96.0,7105.0,7.0,2.0,0.0
1.0,344.0,123.10905406920473,56346.0,86.0,7929.0,7.0,6.0,0.0
1.0,308.0,313.1364501885663,23579.0,74.0,9313.0,2.0,2.0,1.0
0.0,56.0,350.76388022696995,82910.0,48.0,2882.0,7.0,3.0,0.0
1.0,288.0,974.5720555235825,91490.0,79.0,1430.0,5.0,6.0,1.0
0.0,93.0,273.9971183240121,50499.0,44.0,6751.0,1.0,2.0,0.0
1.0,36.0,142.73277949711738,92991.0,4.0,2503.0,6.0,5.0,0.0
1.0,215.0,454.19214488234434,30631.0,48.0,6105.0,6.0,3.0,0.0
0.0,80.0,158.25248721004598,90981.0,7.0,2336.0,3.0,4.0,1.0
1.0,311.0,442.60214251108135,45804.0,28.0,9394.0,1.0,3.0,1.0
0.0,146.0,678.5396750406009,87743.0,63.0,9633.0,6.0,3.0,0.0
0.0,203.0,984.4612126627984,17180.0,1.0,4349.0,3.0,2.0,0.0
1.0,149.0,328.79423358190326,11013.0,64.0,8055.0,2.0,2.0,1.0
0.0,257.0,559.164844107038,97562.0,46.0,2180.0,4.0,6.0,0.0
1.0,10.0,460.29449610591877,20205.0,41.0,8033.0,5.0,4.0,1.0
1.0,59.0,405.62727475788955,52568.0,22.0,8538.0,7.0,6.0,1.0
0.0,224.0,844.6398754548823,41891.0,56.0,7560.0,5.0,1.0,1.0
1.0,174.0,222.35048683535712,32037.0,10.0,9363.0,6.0,1.0,0.0
1.0,180.0,727.6517265682304,94599.0,19.0,4871.0,1.0,2.0,1.0
0.0,89.0,602.7965862878926,95918.0,10.0,3902.0,7.0,6.0,1.0
1.0,289.0,760.1172724581406,68838.0,88.0,6295.0,7.0,6.0,1.0
0.0,226.0,69.21797223726034,67961.0,81.0,5961.0,7.0,3.0,0.0
1.0,260.0,75.11646551711439,70521.0,58.0,1616.0,1.0,3.0,1.0
0.0,331.0,864.3857838913138,21835.0,79.0,9307.0,4.0,4.0,0.0
1.0,293.0,652.1856171939612,52143.0,78.0,8792.0,5.0,2.0,0.0
1.0,53.0,811.1558445112981,55015.0,92.0,2381.0,5.0,6.0,0.0
0.0,127.0,707.9140826189556,67595.0,68.0,9564.0,5.0,2.0,1.0
1.0,145.0,388.0291429635928,54350.0,87.0,1857.0,7.0,6.0,1.0
0.0,169.0,95.41144156757925,98916.0,50.0,5655.0,3.0,6.0,0.0
1.0,42.0,583.1567750718332,28537.0,45.0,6082.0,6.0,6.0,1.0
0.0,305.0,709.1251803566828,21104.0,40.0,7171.0,6.0,3.0,0.0
0.0,331.0,670.7855840398591,76648.0,47.0,1298.0,3.0,3.0,0.0
0.0,175.0,947.7205992668125,73736.0,25.0,4711.0,2.0,2.0,0.0
1.0,52.0,508.1820230119216,80748.0,95.0,9626.0,1.0,6.0,1.0
0.0,306.0,377.34315095170217,31266.0,24.0,3712.0,6.0,4.0,0.0
1.0,187.0,676.6865592663444,41133.0,57.0,5668.0,7.0,6.0,1.0
0.0,274.0,239.92932874827395,71474.0,25.0,7026.0,6.0,5.0,1.0
1.0,145.0,778.345913212676,75916.0,68.0,7859.0,2.0,2.0,0.0
1.0,27.0,641.5378571682427,58655.0,71.0,2680.0,6.0,5.0,0.0
1.0,43.0,763.3537134613991,45755.0,58.0,9410.0,2.0,4.0,0.0
0.0,231.0,884.7451439442895,13495.0,54.0,1872.0,4.0,5.0,1.0
0.0,198.0,994.530825887053,59140.0,29.0,1461.0,3.0,1.0,1.0
0.0,71.0,39.26488792592668,71925.0,90.0,3273.0,7.0,6.0,1.0
1.0,316.0,6.245947107312315,20384.0,3.0,5193.0,2.0,2.0,1.0
0.0,148.0,238.40258641429273,25970.0,7.0,4906.0,4.0,6.0,1.0
0.0,57.0,836.8510328847299,75513.0,77.0,9782.0,1.0,6.0,0.0
0.0,150.0,429.8096542102304,90584.0,46.0,4941.0,5.0,4.0,0.0
0.0,269.0,974.6798364612695,18870.0,68.0,9914.0,5.0,5.0,0.0
1.0,241.0,44.49089074160986,60709.0,48.0,5155.0,6.0,1.0,1.0
0.0,177.0,241.88479846125898,96127.0,81.0,2698.0,7.0,5.0,1.0
0.0,23.0,352.9467470680753,54374.0,83.0,3868.0,7.0,6.0,1.0
1.0,324.0,183.0957204154594,27675.0,9.0,8498.0,1.0,3.0,0.0
0.0,103.0,885.9045952324869,51365.0,40.0,9444.0,4.0,5.0,1.0
1.0,19.0,753.537627900046,35048.0,37.0,6848.0,7.0,1.0,1.0
1.0,64.0,799.5430691067214,67272.0,52.0,8204.0,4.0,3.0,0.0
1.0,355.0,498.0258691011337,78062.0,35.0,2353.0,6.0,4.0,0.0
1.0,309.0,995.1030666792313,33652.0,70.0,5813.0,3.0,1.0,0.0
1.0,339.0,296.34430939100196,68447.0,78.0,7981.0,2.0,6.0,1.0
1.0,229.0,43.312807687279395,56210.0,79.0,8126.0,3.0,6.0,0.0
0.0,344.0,637.875025345415,57619.0,66.0,3621.0,1.0,2.0,1.0
0.0,65.0,68.1661296990467,94562.0,47.0,6933.0,4.0,5.0,0.0
0.0,348.0,450.47264614607917,58623.0,48.0,8273.0,7.0,1.0,0.0
1.0,204.0,315.07105587356665,46528.0,32.0,2858.0,1.0,6.0,0.0
1.0,266.0,387.6003926592242,83619.0,16.0,5288.0,7.0,3.0,1.0
0.0,314.0,286.2913008204598,74382.0,26.0,3009.0,2.0,1.0,1.0
0.0,228.0,997.2651416190188,99381.0,41.0,6692.0,6.0,1.0,1.0
1.0,81.0,712.0972949032055,93584.0,23.0,6922.0,5.0,2.0,0.0
0.0,72.0,237.4994481025836,74752.0,4.0,6912.0,5.0,5.0,1.0
1.0,283.0,130.64145848405664,21300.0,9.0,6067.0,4.0,6.0,1.0
1.0,210.0,823.5160601088822,19666.0,17.0,6194.0,6.0,1.0,1.0
1.0,349.0,517.8426518080403,26821.0,100.0,3981.0,7.0,2.0,1.0
0.0,64.0,518.5840307910922,49862.0,22.0,3653.0,3.0,6.0,0.0
1.0,266.0,895.0309909043033,20336.0,33.0,4216.0,6.0,5.0,1.0
0.0,321.0,303.52178150276717,79924.0,12.0,9234.0,6.0,2.0,0.0
0.0,338.0,624.854708246232,89316.0,44.0,1674.0,7.0,1.0,0.0
0.0,329.0,771.2513464256708,44688.0,84.0,4453.0,7.0,5.0,1.0
0.0,255.0,889.1078845675054,81509.0,38.0,5949.0,4.0,2.0,1.0
1.0,233.0,73.90005247984044,17852.0,21.0,8202.0,4.0,4.0,1.0
0.0,175.0,607.0536025578157,50970.0,92.0,6231.0,6.0,3.0,1.0
0.0,190.0,515.4651539481399,23917.0,41.0,4960.0,4.0,1.0,1.0
1.0,127.0,141.73675737317532,16632.0,38.0,7293.0,7.0,5.0,1.0
0.0,82.0,813.6643685930101,85718.0,93.0,6123.0,2.0,2.0,1.0
1.0,256.0,879.1965879368181,75191.0,3.0,2475.0,4.0,5.0,1.0
0.0,111.0,583.760767873691,16377.0,7.0,5609.0,4.0,5.0,1.0
1.0,275.0,9.169228541293682,24089.0,56.0,3194.0,3.0,6.0,1.0
1.0,188.0,46.197152116753394,16705.0,73.0,4189.0,3.0,5.0,1.0
0.0,198.0,504.7512735940815,82070.0,36.0,2946.0,2.0,1.0,1.0
1.0,174.0,558.2740064338566,57920.0,97.0,3363.0,2.0,5.0,1.0
0.0,24.0,39.875052279974014,53652.0,61.0,9508.0,4.0,2.0,0.0
1.0,314.0,319.2115017275477,61505.0,79.0,5902.0,5.0,3.0,1.0
1.0,244.0,815.9330844105804,58281.0,43.0,2795.0,4.0,5.0,1.0
0.0,306.0,475.11562387097547,95929.0,100.0,4728.0,6.0,1.0,1.0
0.0,269.0,629.3962159042183,91230.0,100.0,7229.0,2.0,6.0,0.0
0.0,294.0,948.2569656135171,24404.0,25.0,1310.0,4.0,3.0,1.0
0.0,212.0,690.809760657607,63788.0,65.0,8726.0,7.0,6.0,0.0
0.0,266.0,208.13436326627345,52604.0,85.0,8837.0,5.0,4.0,1.0
0.0,236.0,912.2120367630864,54869.0,70.0,6804.0,6.0,6.0,1.0
1.0,99.0,957.3800587972448,46569.0,72.0,5890.0,2.0,3.0,1.0
0.0,354.0,705.2832714804565,51555.0,62.0,6714.0,5.0,6.0,1.0
1.0,63.0,573.9033270697714,81197.0,49.0,7464.0,7.0,3.0,0.0
1.0,22.0,288.3427112725258,20358.0,45.0,8247.0,6.0,3.0,1.0
0.0,104.0,828.1237518045257,45537.0,72.0,5450.0,2.0,1.0,0.0
0.0,26.0,670.1641309282109,79604.0,29.0,4814.0,1.0,1.0,1.0
1.0,242.0,101.44435987257054,28018.0,1.0,3587.0,4.0,6.0,1.0
1.0,334.0,200.25651869293407,47649.0,42.0,5676.0,6.0,1.0,0.0
0.0,274.0,738.9478357463669,14888.0,23.0,7846.0,7.0,2.0,0.0
1.0,254.0,187.1253202905664,47941.0,5.0,1151.0,3.0,5.0,0.0
1.0,146.0,454.89472907863825,94058.0,70.0,9590.0,4.0,2.0,1.0
1.0,99.0,809.0050643647769,53343.0,21.0,8518.0,6.0,3.0,0.0
0.0,173.0,790.9768967608304,84420.0,87.0,4164.0,2.0,5.0,1.0
1.0,264.0,328.59873208143586,62538.0,86.0,2562.0,2.0,2.0,1.0
1.0,128.0,7.823290419015896,60275.0,31.0,8319.0,7.0,3.0,1.0
1.0,299.0,723.1596458725965,11498.0,34.0,6890.0,6.0,2.0,0.0
0.0,239.0,307.49953566161616,63138.0,88.0,9233.0,6.0,3.0,0.0
1.0,189.0,615.0108226957052,38721.0,18.0,8834.0,2.0,4.0,1.0
1.0,360.0,549.6852743095465,71712.0,97.0,9806.0,7.0,6.0,0.0
0.0,349.0,754.9848101751405,20730.0,68.0,8319.0,5.0,6.0,1.0
0.0,289.0,113.09658274573299,81781.0,65.0,4312.0,5.0,5.0,0.0
0.0,168.0,854.6315213875561,67912.0,15.0,4365.0,6.0,5.0,1.0
0.0,262.0,446.03720949503327,17292.0,59.0,3161.0,5.0,4.0,1.0
0.0,287.0,462.9159274331848,50392.0,93.0,1356.0,4.0,3.0,0.0
0.0,297.0,73.95649638954185,65534.0,45.0,2044.0,5.0,1.0,0.0
1.0,17.0,287.8036161844288,33590.0,99.0,3218.0,7.0,6.0,1.0
1.0,196.0,449.0885955300231,59479.0,49.0,2314.0,6.0,6.0,0.0
1.0,61.0,179.29515537510756,80419.0,51.0,9664.0,2.0,6.0,0.0
0.0,12.0,978.5121919964598,70686.0,87.0,9920.0,4.0,5.0,1.0
0.0,127.0,461.16465327004767,30332.0,36.0,4088.0,6.0,1.0,0.0
1.0,315.0,766.2874140463895,12050.0,31.0,4376.0,1.0,1.0,0.0
1.0,307.0,672.3516132353468,16380.0,32.0,1724.0,4.0,4.0,0.0
0.0,29.0,140.9954395397897,47914.0,30.0,6224.0,5.0,5.0,1.0
0.0,155.0,876.3820638516333,96535.0,67.0,4621.0,4.0,3.0,1.0
0.0,286.0,948.5717347716947,32955.0,81.0,7999.0,5.0,4.0,0.0
1.0,330.0,671.6711822209766,78742.0,41.0,7821.0,4.0,2.0,1.0
1.0,95.0,754.6616811408871,72065.0,31.0,4692.0,3.0,6.0,0.0
1.0,30.0,562.8235636373222,64592.0,72.0,9683.0,2.0,4.0,0.0
1.0,105.0,330.9327306304808,20363.0,58.0,7079.0,1.0,5.0,0.0
0.0,138.0,377.79080698637847,89294.0,78.0,1647.0,7.0,1.0,0.0
0.0,246.0,209.68019946369805,53642.0,39.0,1251.0,2.0,2.0,0.0
1.0,125.0,695.9306594192768,36805.0,51.0,4921.0,5.0,3.0,1.0
1.0,239.0,534.1164772888468,57088.0,40.0,5285.0,3.0,5.0,1.0
1.0,51.0,803.013805198201,71537.0,98.0,6246.0,2.0,3.0,1.0
1.0,24.0,562.9622027368899,39002.0,95.0,3390.0,1.0,3.0,1.0
1.0,79.0,196.99559094410697,40149.0,49.0,5026.0,4.0,5.0,1.0
1.0,251.0,966.5417589830934,94108.0,95.0,9037.0,4.0,2.0,1.0
0.0,72.0,720.5932172313317,74004.0,24.0,9882.0,6.0,1.0,0.0
0.0,343.0,49.465879802215824,10836.0,53.0,3252.0,7.0,6.0,0.0
0.0,363.0,151.87861681828142,38668.0,65.0,8471.0,3.0,1.0,1.0
1.0,9.0,7.6057446351667375,82305.0,53.0,1194.0,1.0,5.0,1.0
1.0,9.0,502.71381621319097,98346.0,56.0,3937.0,1.0,1.0,0.0
0.0,99.0,620.1610615695233,43084.0,46.0,5379.0,7.0,4.0,0.0
1.0,208.0,459.53874780563393,41877.0,90.0,4700.0,3.0,6.0,0.0
0.0,48.0,405.873019806182,59436.0,71.0,8798.0,1.0,6.0,0.0
0.0,43.0,500.3585347196792,66873.0,83.0,6427.0,5.0,1.0,0.0
0.0,109.0,901.3716860655603,84289.0,61.0,5441.0,1.0,1.0,1.0
0.0,92.0,928.8375948934046,51220.0,3.0,4394.0,5.0,2.0,1.0
0.0,154.0,163.28780046399118,41519.0,73.0,7375.0,6.0,5.0,1.0
1.0,72.0,790.7075871489158,20279.0,65.0,6666.0,1.0,1.0,1.0
0.0,39.0,341.25215372863084,90460.0,77.0,7499.0,7.0,3.0,0.0
1.0,231.0,491.11285265468246,56636.0,71.0,7150.0,4.0,2.0,1.0
0.0,317.0,296.0841012243712,42302.0,92.0,2204.0,1.0,3.0,0.0
1.0,365.0,784.1063915883525,30221.0,95.0,7383.0,3.0,3.0,0.0
0.0,3.0,943.01726711511,68292.0,47.0,5419.0,1.0,2.0,0.0
0.0,221.0,449.39483334442997,82710.0,66.0,7685.0,1.0,1.0,0.0
1.0,284.0,93.97119619941428,88386.0,42.0,7311.0,1.0,3.0,1.0
1.0,44.0,725.1190001907565,83339.0,32.0,9537.0,2.0,6.0,1.0
0.0,72.0,269.6500445666174,45180.0,64.0,3390.0,1.0,2.0,1.0
1.0,216.0,300.4525016676417,20082.0,47.0,5123.0,2.0,6.0,1.0
0.0,235.0,107.86539521332111,49932.0,1.0,7483.0,3.0,5.0,1.0
1.0,226.0,335.40148752321005,95332.0,77.0,3230.0,3.0,3.0,0.0
1.0,161.0,178.4596340478215,62198.0,41.0,5775.0,6.0,6.0,1.0
0.0,167.0,376.6792470218229,61502.0,47.0,2865.0,5.0,2.0,0.0
0.0,237.0,943.0319405023655,37479.0,57.0,5773.0,7.0,6.0,0.0
1.0,345.0,499.8039120736713,93012.0,39.0,4965.0,3.0,6.0,0.0
1.0,194.0,74.89117044670617,88372.0,62.0,7566.0,5.0,5.0,1.0
0.0,185.0,701.9326527685374,80373.0,77.0,2392.0,1.0,2.0,1.0
0.0,332.0,613.0652244109838,83822.0,83.0,7547.0,7.0,3.0,1.0
0.0,6.0,99.50795202314578,39098.0,66.0,9499.0,5.0,5.0,0.0
1.0,192.0,391.74303450882536,99070.0,76.0,9199.0,2.0,3.0,0.0
1.0,54.0,296.1367882978875,21253.0,15.0,3321.0,3.0,3.0,1.0
1.0,106.0,521.5937149706712,55652.0,61.0,2599.0,4.0,6.0,1.0
1.0,35.0,300.9638190987584,25084.0,3.0,6620.0,6.0,1.0,0.0
0.0,265.0,175.2787795913098,30989.0,43.0,7985.0,4.0,2.0,1.0
0.0,96.0,640.838397783418,66640.0,51.0,1478.0,6.0,5.0,0.0
